Artist and Title,Streams,Daily
Artist and Title,Streams,Daily
Miley Cyrus - Flowers,"2,328,701,301","1,510,167"
Jung Kook - Seven,"2,088,801,472","2,208,795"
Tate McRae - greedy,"1,558,449,463","1,638,247"
The Weeknd - One Of The Girls,"1,441,285,002","2,731,811"
Mitski - My Love Mine All Mine,"1,358,370,542","2,283,079"
Teddy Swims - Lose Control,"1,351,214,348","3,067,162"
David Kushner - Daylight,"1,341,850,405","1,058,786"
Eslabon Armado - Ella Baila Sola,"1,329,078,203","584,925"
Jimin - Like Crazy,"1,313,866,756","280,713"
Doja Cat - Paint The Town Red,"1,251,097,483","920,990"
d4vd - Here With Me,"1,231,148,534","1,113,827"
Olivia Rodrigo - vampire,"1,202,032,403","993,493"
Yng Lvcas - La Bebe,"1,177,131,926","492,958"
KAROL G - TQG,"1,177,041,223","709,498"
Grupo Frontera - un x100to,"1,173,560,716","1,000,331"
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]","1,139,760,109","1,154,933"
Morgan Wallen - Last Night,"1,124,910,808","870,899"
KAROL G - QLONA,"1,122,353,004","1,227,487"
Myke Towers - LALA,"1,099,675,385","913,914"
Travis Scott - FE!N,"1,075,354,135","2,278,713"
Jung Kook - Standing Next to You,"1,048,728,825","1,325,123"
The Weeknd - Die For You,"1,040,101,889","684,080"
Feid - CLASSY 101,"1,039,160,085","820,662"
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53","1,016,386,079","363,957"
Feid - LUNA,"1,012,195,317","2,326,490"
Dua Lipa - Dance The Night,"1,005,772,074","688,125"
The Weeknd - Popular,"1,000,464,834","903,920"
V - Love Me Again,"993,156,875","1,660,562"
Gunna - fukumean,"976,968,546","973,149"
FIFTY FIFTY - Cupid,"935,733,453","385,111"
Bad Bunny - PERRO NEGRO,"925,580,594","1,774,627"
PinkPantheress - Boy's a liar Pt. 2,"917,429,796","355,409"
Kenya Grace - Strangers,"909,814,152","674,984"
Zach Bryan - I Remember Everything,"908,283,847","1,281,092"
Tyla - Water,"905,753,765","1,300,922"
Quevedo - Columbia,"874,897,598","648,152"
KAROL G - AMARGURA,"871,762,948","1,285,203"
Calle 24 - Que Onda,"853,800,776","1,351,680"
Kali Uchis - Moonlight,"843,770,537","773,614"
Jack Harlow - Lovin On Me,"815,964,834","991,483"
Xavi - La Diabla,"811,936,488","726,810"
Dave - Sprinter,"811,914,326","560,088"
