Artist and Title,Streams,Daily
Artist and Title,Streams,Daily
Sabrina Carpenter - Espresso,"1,676,797,909","4,738,203"
Benson Boone - Beautiful Things,"1,633,511,531","3,594,368"
Billie Eilish - BIRDS OF A FEATHER,"1,621,988,344","6,847,369"
Anne-Marie - FRIENDS,"1,484,697,957","236,401"
FloyyMenor - Gata Only,"1,319,156,114","2,317,717"
Lady Gaga - Die With A Smile,"1,172,791,650","9,657,862"
Hozier - Too Sweet,"1,153,317,710","2,625,215"
Jimin - Who,"1,147,836,089","6,369,935"
Bruno Mars - Wake Up in the Sky,"1,083,179,320","555,943"
Artemas - i like the way you kiss me,"1,078,445,816","2,114,374"
Ariana Grande - we can't be friends (wait for your love),"1,074,845,399","2,649,352"
Sabrina Carpenter - Please Please Please,"1,074,731,740","3,068,948"
Tommy Richman - MILLION DOLLAR BABY,"976,824,756","2,172,701"
Kendrick Lamar - Not Like Us,"941,868,765","2,206,672"
Post Malone - I Had Some Help (Feat. Morgan Wallen),"819,150,842","2,056,743"
KAROL G - Si Antes Te Hubiera Conocido,"778,768,398","3,709,443"
Taylor Swift - Fortnight,"760,585,262","1,550,885"
SZA - Saturn,"627,385,285","1,500,133"
Billie Eilish - LUNCH,"622,774,491","1,285,503"
Billie Eilish - WILDFLOWER,"612,644,174","3,935,295"
Sabrina Carpenter - Taste,"612,420,653","3,480,368"
Future - Like That,"607,669,001","1,148,731"
Don Henley - The Boys Of Summer,"599,887,808","204,368"
AronChupa - I'm an Albatraoz,"596,368,960","152,409"
21 Savage - redrum,"594,823,317","887,445"
Mark Ambor - Belong Together,"582,529,760","1,430,837"
BeyoncÃ© - TEXAS HOLD 'EM,"577,346,839","685,458"
Myles Smith - Stargazing,"566,065,213","1,675,840"
Billie Eilish - CHIHIRO,"564,529,557","1,739,792"
Benson Boone - Slow It Down,"563,322,797","1,005,775"
ROSÃ - APT.,"552,289,000","10,403,816"
Rvssian - Santa,"550,235,710","1,470,826"
"Ariana Grande - yes, and?","544,266,885","695,448"
Taylor Swift - I Can Do It With a Broken Heart,"533,849,393","1,106,244"
Natanael Cano - Madonna,"511,326,408","1,233,887"
Bakermat - BaianÃ¡,"504,795,796","304,202"
Eminem - Houdini,"504,707,738","1,410,491"
Luis R Conriquez - Si No Quieres No,"474,712,411","1,305,981"
Dua Lipa - Training Season,"448,253,609","906,850"
V - FRI(END)S,"438,392,001","513,516"
Norah Jones - Come Away With Me,"426,844,264","155,053"
Future - Type Shit,"426,643,374","1,030,766"
David Guetta - I Don't Wanna Wait,"426,349,090","1,084,235"
"Arijit Singh - Chaleya (From ""Jawan"")","415,408,547","349,526"
Don Omar - Bandoleros,"406,378,388","246,812"
Sevdaliza - Alibi,"401,306,525","1,272,396"
Ariana Grande - the boy is mine,"391,192,642","1,051,175"
Ariana Grande - intro (end of the world),"390,431,395","956,684"
Trueno - REAL GANGSTA LOVE,"371,893,624","689,210"
Henry Moodie - drunk text,"371,173,458","806,781"
Kygo - Whatever,"369,555,828","713,079"
Taylor Swift - Down Bad,"366,331,439","600,318"
Cris Mj - SI NO ES CONTIGO,"365,804,666","1,449,679"
Charli xcx - Guess featuring billie eilish,"363,494,585","1,814,442"
"Gracie Abrams - I Love You, I'm Sorry","359,536,026","2,670,081"
Central Cee - BAND4BAND,"358,689,751","700,905"
Creepy Nuts - Bling-Bang-Bang-Born,"357,986,410","660,365"
Fuerza Regida - TÃ NAME,"346,673,661","991,257"
Disturbed - The Sound of Silence,"342,383,508","972,110"
Taylor Swift - Guilty as Sin?,"340,524,270","716,512"
Kali Uchis - Igual Que Un Ãngel,"340,215,018","404,514"
Sabrina Carpenter - Bed Chem,"338,470,229","2,008,763"
Peso Pluma - LA PATRULLA,"335,269,617","1,794,468"
Zach Bryan - Pink Skies,"333,293,298","1,012,285"
Gladys Knight & The Pips - Midnight Train to Georgia,"332,086,281","91,458"
Jungle - Back On 74,"326,508,912","524,742"
Myke Towers - ADIVINO,"325,556,074","737,946"
Linkin Park - The Emptiness Machine,"325,523,615","2,133,595"
Bryson Tiller - Whatever She Wants [BONUS],"320,733,925","547,561"
Blessd - MÃ­rame,"314,810,222","1,294,847"
LISA - Rockstar,"313,810,460","753,574"
